_id,Name,Code,IERS DOMES Number,Description,Latitude,Longitude,Height in meter,Receiver Type,Satellite System,Antenna Type,Elevation Mask in Degree,Recording Rate,Comment
38,Lasah,LASA,22729M001,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the building.,4.923837191,101.0804138,61.4509,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Rancangan Lembaga Kemauan Tanah Persekutuan (RLKTP) Lasah, Perak."
39,Lawas,LAWS,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,4.872184161,115.5263007,57.4586,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SK Agama (MIS) Lawas, Sarawak."
40,Labis,LBIS,Not obtained yet,LBIS,2.472259803,103.0965083,66.6747,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SK Kg. Ayer Panas, Labis, Johor."
41,Lebir,LEBI,Not obtained yet,LEBI,5.004828941,102.4756869,84.1119,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SK Lebir, Gua Musang, Kelantan."
42,Pulau Langkawi,LGKW,22722M001,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of tower.,6.328502216,99.86260433,14.5091,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Balai Bomba dan Penyelamat Persiaran Putra, Kedah."
43,Meru,MERU,22736M001,Geodetic ground marker (circle plate with bolt). 6.0 meter concrete monument.,3.138237019,101.4745561,6.4099,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SK Meru, Persiaran Datuk Hamzah, Meru, Selangor."
44,Miri,MIRI,Not obtained yet,Geodetic ground marker (circle plate with bolt). 2 meter stainless steel pillar on top of the building.,4.372100928,114.0174261,62.3213,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Pejabat Ukur Topografi Wilayah II Miri, Sarawak."
45,Merchang,MRCH,Not obtained yet,MRCH,5.026600616,103.395578,31.5154,LEICA GR50,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Merchang, Marang, Terengganu"
46,Marudi,MRDI,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,4.183740011,114.3373938,70.0936,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Marudi, Marudi, Sarawak."
47,Kota Marudu,MRDU,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 8 meter concrete monument.,6.523891569,116.793674,61.2159,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SK Kota Marudu II, Kota Marudu, Sabah."
48,Mersing,MRSG,Not obtained yet,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the building,2.453467567,103.9375172,18.0673,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Mersing, Jalan Endau, Johor."
49,Tawau,MTAW,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 3.5 meter concrete monument.,4.26277397,118.0164759,72.7826,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Jalan Kukusan, Tawau, Sabah."
50,Muadzam Shah,MUAD,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,3.071793273,103.1443663,50.0705,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMKA Muadzam Shah, Muadzam Shah, Pahang"
51,Muar,MUAR,Not obtained yet,MUAR,2.065554163,102.6217293,20.5896,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Sekolah Menengah Sains Muar, Johor."
52,Mukah,MUKA,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,2.872683936,112.0491084,46.3226,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Politeknik Mukah, Jalan Oya, Mukah, Sarawak."
53,Al-Mukhtafi Billah Shah,MUKH,22757M001,Geodetic ground marker (circle plate with bolt). Two (2) meter stainless steel pillar on top of concrete tower.,4.617637874,103.294487,54.4516,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Balai Bomba dan Penyelamat Al-Mukhtafi Billah Shah, Dungun,Terengganu"
54,Limau Kasturi,MUSA,Not obtained yet,MUSA,5.093808975,102.1977818,88.4443,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SK Limau Kasturi 2, Gua Musang, Kelantan"
55,Niah,NIAH,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 8 meter concrete monument.,3.862206605,113.8439879,61.5706,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Suai, Batu Niah, Sarawak"
56,Pasir Putih,PASP,22763M001,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,5.837954314,102.4267179,19.2401,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SM Sains Pasir Putih, Pasir Putih, Kelantan."
57,Port Dickson,PDIC,Not obtained yet,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the concrete roof.,2.526176616,101.9053186,31.1952,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Majlis Perbandaran Port Dickson, Negeri Sembilan"
58,Pekan,PEKN,Not obtained yet,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the building.,3.492597842,103.4469032,25.9996,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Pejabat Jurutera Daerah, Pekan, Pahang."
59,Parit Sulong,PRTS,22742M001,Geodetic ground marker (circle plate with bolt). On top of 1.5 meter stainless steel pillar on concrete roof top.,1.981407989,102.930614,15.6476,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Penghulu Saad, Parit Sulong, Johor"
60,Pulau Pangkor,PUPK,22731M001,Geodetic ground marker (circle plate with bolt). 2.5 meter stainless steel pillar on top of the concrete roof.,4.206993758,100.6424192,13.8214,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Pangkor, Pulau Pangkor, Perak."
61,Pusing,PUSI,22730M001,Geodetic ground marker (circle plate with bolt). On top of 3 meter concrete monument.,4.480702089,101.034252,45.3033,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Pusing, Perak."
62,Ranau,RANA,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,5.973836817,116.7485595,694.1656,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Ranau, Ranau, Sabah."
63,Raub,RAUB,Not obtained yet,RAUB,4.217975897,101.8259314,112.1036,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SK (LKTP) Sg. Koyan, Raub, Pahang"
64,Bandar Tun Razak,RAZA,Not obtained yet,RAZA,2.896640953,103.0041308,58.5941,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Bandar Tun Razak (BANTURA), Pahang."
65,Felda Sahabat,SAHA,Not obtained yet,SAHA,5.078060119,119.2070444,71.276,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Desa Kencana, FELDA Sahabat, Lahad Datu, Sabah"
66,Sandakan,SAND,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 3 meter concrete monument.,5.842403867,118.1558461,133.4099,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Jalan Istana, Sandakan, Sabah."
67,Saratok,SARA,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,1.764105067,111.365788,54.7499,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMKA Sri Aman,Saratok, Sarawak"
68,Sabak Bernam,SBKB,22733M001,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the concrete roof.,3.812776336,100.9640489,15.5264,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Politeknik Sultan Idris Shah, Sabak Bernam, Selangor."
69,Tanjung Sedili,SDLI,Not obtained yet,SDLI,1.926201,104.1753884,19.5674,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Tan Sri Jaafar Albar, Tg. Sedili, Johor."
70,Segamat,SEG1,22741M001,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,2.4862996,102.8701889,28.5201,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Univ. Teknologi MARA (UiTM) Segamat, Segamat, Johor."
71,Sekinchan,SEKI,Not obtained yet,SEKI,3.532844792,101.1307332,4.6612,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SK Sungai Leman, Sekinchan, Selangor"
72,Sematan,SEMA,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,1.802692877,109.8847475,41.8706,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Sematan, Sematan, Sarawak."
73,Semporna,SEMP,Not obtained yet,SEMP,4.454290142,118.6179459,82.6347,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Datuk Panglima Abdullah, Semporna, Sabah"
74,Setiu,SETI,22760M001,Geodetic ground marker (circle plate with bolt). Two (2) meter stainless steel pillar on top of concrete building.,5.532495809,102.8758091,43.7095,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Tengku Ibrahim, Setiu, Terengganu"
75,Sungai Petani,SGPT,22725M001,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the building.,5.643577647,100.5337441,10.2426,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Pejabat Ukur Daerah Kedah Tengah, Sungai Petani, Kedah"
76,Sibu,SIB1,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,2.071920314,111.7326526,60.456,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Meradong, Bintagor, Sarawak."
77,Sik,SIK1,22724M001,Geodetic ground marker (circle plate with bolt). On top of 3 meter concrete monument.,5.809899925,100.8388946,44.3401,TRIMBLE NETR9,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Balai Bomba dan Penyelamat Sik, Sik, Kedah"
78,Simunjan,SIMU,Not obtained yet,SIMU,1.360638641,110.9307002,46.2334,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Simunjan No.1, Sarawak."
79,Simpang Renggam,SPGR,Not obtained yet,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the concrete building.,1.810595481,103.3597852,34.1885,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Simpang Rengam, Johor"
80,Sri Jaya,SRIJ,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,3.65993715,102.9837502,70.9113,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Sri Jaya, Maran, Pahang"
81,Tebedu,TEBE,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,1.016961063,110.4013562,100.5627,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Pejabat Daerah Kecil Tebedu, Serian, Sarawak"
82,Telupid,TELU,Not obtained yet,TELU,5.626491258,117.2095703,159.4565,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Telupid, Sabah."
83,Tenom,TENM,Not obtained yet,Geodetic ground marker (circle plate with bolt). 2 meter stainless steel pillar on top of the concrete building.,5.168180917,116.05487,283.8027,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Tenom, Tenom, Sabah"
84,Tg. Pengelih,TGPG,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,1.367411024,104.1825879,18.0712,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SK Tanjung Pengelih, Pengerang, Johor"
85,Kota Tinggi,TING,Not obtained yet,TING,1.562907386,104.3344831,38.2447,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Bandar Penawar, Kota Tinggi, Johor"
86,Teluk Intan,TLKI,22732M001,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the building.,3.991333942,101.0883686,4.0631,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SM Teknik (Pertanian) Teluk Intan, Perak"
87,Temerloh,TLOH,Not obtained yet,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the building.,3.449450638,102.4436468,56.9995,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Pejabat Jurutera Daerah, Temerloh, Pahang"
88,Tambunan,TMBN,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 8 meter concrete monument.,5.723858631,116.429462,704.5321,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Tambunan, Tambunan, Sabah"
89,Tokai,TOKA,Not obtained yet,TOKA,6.029609333,100.4356903,-3.3221,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Tokai, Alor Setar, Kedah."
90,Triang,TRIA,Not obtained yet,TRIA,3.261576613,102.6664397,60.8889,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Bandar Bera 32, Triang, Pahang"
91,Teris,TRIS,22759M001,Geodetic ground marker (circle plate with bolt). Two (2) meter stainless steel pillar on top of concrete building.,5.146977311,103.1011711,32.1289,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Matang, Kuala Berang, Terengganu"
92,Universiti Malaysia Sarawak,UMAS,Not obtained yet,UMAS,1.468310088,110.4969773,51.3153,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Pejabat Pembangunan, Universiti Malaysia Sarawak"
93,Universiti Malaysia Sabah,UMSS,Not obtained yet,UMSS,6.039233175,116.2202961,76.2546,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Institut Penyelidikan Marin Borneo, Universiti Malaysia Sabah"
94,Universiti Putra Malaysia,UPMS,22735M001,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the concrete roof.,2.993395955,101.7850931,100.3698,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Universiti Putra Malaysia Serdang, Selangor."
95,Universiti Sains Malaysia,USMP,22726M001,Geodetic ground marker (circle plate with bolt). On top of 3 meter concrete monument.,5.357787686,100.34036,19.8739,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Universiti Sains Malaysia, Gelugor, Pulau Pinang"
96,Universiti Utara Malaysia,UUMK,22723M001,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the building.,6.462182211,100.5633507,66.1628,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Bangunan Canselori, Universiti Utara Malaysia, Sintok, Kedah"
